Asset/Collateral,Asset Contract Address,Asset Decimals,Collateral Contract Address,Collateral Decimals,Pool Address,TVL ($),Borrowed ($),Supply APR %,Available ($),Borrow APR %
USDC.e/WAVAX, 0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,6,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0xea103255F79e1A801B3D60Be10282cF4CF18a317,6365.00,29.00,-,6336.00,0.00
WAVAX/WBTC,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18, 0x50b7545627a5162f82a992c33b87adc75187b218,8,0x0d94A1B1Feb81F0f57DcB1974fA9Ad74494C20cd,455.00,23.00,0.00,432.00,0.00
MIM/WAVAX,0x130966628846bfd36ff31a822705796e8cb8c18d,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x3aA5780CD912CD600fE4f2c4Ea8d4DfEb16579d1,222.00,0.00,-,222.00,0.00
SUSHI/WAVAX,0x37b608519f91f70f2eeb0e5ed9af4061722e4f76,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0xd3BAF39Da02C2d20c43BE49Bc870DF0cb14FD397,57.00,19.00,0.00,38.00,0.00
WAVAX/USDT.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18, 0xc7198437980c041c805a1edcba50c1ce5db95118,6,0x026Ea65eD519c7e48dE14374506B2439AE4F7Ff3,53.00,3.00,0.00,50.00,0.00
MIM/SPELL,0x130966628846bfd36ff31a822705796e8cb8c18d,18,0xce1bffbd5374dac86a2893119683f4911a2f7814,18,0xeefc9109A82fEEEdc3B5889D62f408DfF564eB06,17.00,0.00,-,17.00,0.01
WAVAX/USDC.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18, 0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,6,0x8e704666Fb4d759A4a4eEbF6a4CBaD8d89A2586d,14.00,0.00,-,14.00,0.01
xJOE/MIM,0x57319d41f71e81f3c65f2a47ca4e001ebafd4f33,18,0x130966628846bfd36ff31a822705796e8cb8c18d,18,0xc1356023888a86cC1355C2b151aF71CE5deCD253,5.00,1.00,0.00,3.00,0.00
DAI/WAVAX, 0xd586e7f844cea2f87f50152665bcbc2c279d8d70,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x685B570CFA3bF4889ce077f70b8a33a9b1C2E2c8,5.00,0.00,-,5.00,0.01
WAVAX/WETH,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,18,0x45ecaBC5e035095B7A4BBD8A86953ff6b83ff70A,3.00,0.00,-,3.00,0.01
SPELL/WAVAX,0xce1bffbd5374dac86a2893119683f4911a2f7814,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x6a1c850C407892fBC9822d70d73a14E80419a5B3,2.00,0.00,-,2.00,0.01
WAVAX/WAVAX,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x97b785141274b71FDa92e702688981e449349114,0.00,0.00,-,0.00,0.01
SUSHI/MIM,0x37b608519f91f70f2eeb0e5ed9af4061722e4f76,18,0x130966628846bfd36ff31a822705796e8cb8c18d,18,0xc777A2810E5d7d53aF6587Fe7dAeB14B18b3e0FC,0.00,0.00,-,0.00,0.01
WAVAX/DAI,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18, 0xd586e7f844cea2f87f50152665bcbc2c279d8d70,18,0xF33E495B97f2974a28EF4327De5f45FDc5A25A19,0.00,0.00,-,0.00,0.01
USDC.e/DAI, 0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,6, 0xd586e7f844cea2f87f50152665bcbc2c279d8d70,18,0xB6F0bd4292Da8e9821EA381948De370B7F9742E2,0.00,0.00,-,0.00,0.01
USDT.e/WETH, 0xc7198437980c041c805a1edcba50c1ce5db95118,6,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,18,0x340C2cA1E7f32B08974542aF39630208464e8669,0.00,0.00,-,0.00,0.01
USDT.e/WBTC, 0xc7198437980c041c805a1edcba50c1ce5db95118,6, 0x50b7545627a5162f82a992c33b87adc75187b218,8,0xE96B77D468E506B39DBae36B19af699688715Ce3,0.00,0.00,-,0.00,0.01
WETH/WAVAX,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x03bEC481665bF43033eDE87aC0639fdcd6189E4c,0.00,0.00,-,0.00,0.01
WAVAX/SUSHI,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x37b608519f91f70f2eeb0e5ed9af4061722e4f76,18,0xD436e9D472B588baAb31191b28435938AEA34240,0.00,0.00,-,0.00,0.01
WAVAX/MIM,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x130966628846bfd36ff31a822705796e8cb8c18d,18,0xeEe3e61EFCd18C364729E067334d595dF58176ad,0.00,0.00,-,0.00,0.01
WAVAX/SPELL,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0xce1bffbd5374dac86a2893119683f4911a2f7814,18,0xF900E2a5696C8331f009EBf267F8C0550b10504c,0.00,0.00,-,0.00,0.01
MIM/SUSHI,0x130966628846bfd36ff31a822705796e8cb8c18d,18,0x37b608519f91f70f2eeb0e5ed9af4061722e4f76,18,0xe0572Dd4c6ce9adBf49F126CDC47f40c28b485e4,0.00,0.00,-,0.00,0.01
MIM/xJOE,0x130966628846bfd36ff31a822705796e8cb8c18d,18,0x57319d41f71e81f3c65f2a47ca4e001ebafd4f33,18,0x17E0A9f251AAc01af4f99144CC39892B1DBd2BF8,0.00,0.00,-,0.00,0.01
USDT.e/DAI, 0xc7198437980c041c805a1edcba50c1ce5db95118,6, 0xd586e7f844cea2f87f50152665bcbc2c279d8d70,18,0x2AE95EE74A2F3d873318473dB23FD96BC60655F2,0.00,0.00,-,0.00,0.01
USDC.e/WETH, 0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,6,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,18,0x48aC6A090176A7538349b714b8101E32B9dd4E47,0.00,0.00,-,0.00,0.01
xJOE/SUSHI,0x57319d41f71e81f3c65f2a47ca4e001ebafd4f33,18,0x37b608519f91f70f2eeb0e5ed9af4061722e4f76,18,0x65d865b5280163eBF0E4928796F47EaeE89A96d9,0.00,0.00,-,0.00,0.01
USDC.e/USDT.e, 0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,6, 0xc7198437980c041c805a1edcba50c1ce5db95118,6,0x84336C6E521368691a244c88fd4743eFab6Fd582,0.00,0.00,-,0.00,0.01
USDT.e/WAVAX, 0xc7198437980c041c805a1edcba50c1ce5db95118,6,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x94415A25De78AFf66A8A412d9eE0802c87a380B7,0.00,0.00,-,0.00,0.01
USDT.e/MIM, 0xc7198437980c041c805a1edcba50c1ce5db95118,6,0x130966628846bfd36ff31a822705796e8cb8c18d,18,0xb884d145FB02D3eF666C3b22d46b08Db3500CF98,0.00,0.00,-,0.00,0.01
DAI/AAVE, 0xd586e7f844cea2f87f50152665bcbc2c279d8d70,18,0x63a72806098bd3d9520cc43356dd78afe5d386d9,18,0xBA1d5eB364907DE7F96282A61642B53738174D38,0.00,0.00,-,0.00,0.01
WBTC/WAVAX, 0x50b7545627a5162f82a992c33b87adc75187b218,8,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0xd6ddc1c6Ef3af255CfE298d71E5bB5Fcb0267411,0.00,0.00,-,0.00,0.01
DAI/MIM, 0xd586e7f844cea2f87f50152665bcbc2c279d8d70,18,0x130966628846bfd36ff31a822705796e8cb8c18d,18,0xf2480801293f42810E0ffa59a3ad3A8352C01C61,0.00,0.00,-,0.00,0.01
AAVE/WAVAX,0x63a72806098bd3d9520cc43356dd78afe5d386d9,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x15166030894dc4A6eff405560a5D8c998FC521bc,0.00,0.00,-,0.00,0.01
LINK/WAVAX,0x5947bb275c521040051d82396192181b413227a3,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0x3878d0CBf27Cc1187B0Cf920A17cF252f08c981c,0.00,0.00,-,0.00,0.01
LINK/WETH,0x5947bb275c521040051d82396192181b413227a3,18,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,18,0x74590122C057e55c3891D21484b1Fc624b0965aF,0.00,0.00,-,0.00,0.01
LINK/USDC.e,0x5947bb275c521040051d82396192181b413227a3,18, 0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,6,0x795167fB9872FdA4d552e3Ef8945C8ecaA0144c2,0.00,0.00,-,0.00,0.01
AAVE/WETH,0x63a72806098bd3d9520cc43356dd78afe5d386d9,18,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,18,0x9dD167c381b890d1E0Cc5A2c0b5FAA57136b44E5,0.00,0.00,-,0.00,0.01
JOE/WAVAX,0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,0xc7F767328F05F95a6dBcFF939509D68121Cf203e,0.00,0.00,-,0.00,0.01
